fin_year,month,state_name,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Number_of_Completed_Works,Number_of_Ongoing_Works,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks,percentage_active_job_cards,log_Total_Households_Worked
2018-2019,,ASSAM,GOALPARA,451015.0,228.01534842374537,20.0,71.0,508.0,8275.0,21215.0,6759.0,201399.0,45705.0,1366.343745227,33080.0,46854.0,71557.0,178250.0,15.0,149909.0,318269.0,8783.0,1287.24711,297395.0,86.0,89.75,78.09,100.1,Good,47.7336250658733,10.406714378426788
2018-2019,,ASSAM,BARPETA,1779076.0,260.386574283612,20.0,163.5,753.0,14184.0,17974.0,10601.0,13566.0,3834.0,3412.921529026,53847.0,88226.0,148996.0,352127.0,18.0,286873.0,620516.0,14937.0,2870.790624,437520.0,66.0,78.48,78.47,100.65,Good,51.93796558058793,10.89392054169055
2018-2019,,ASSAM,GOLAGHAT,1020104.0,228.01534842374537,15.0,27.0,2629.0,10113.0,34896.0,12926.0,93245.0,33709.0,1356.53998436,29504.0,40283.0,117136.0,249290.0,5.0,168034.0,340661.0,12742.0,872.83276,191820.0,81.0,51.01,40.7,100.16,Good,69.7097016080079,10.29231501949127
2018-2019,,ASSAM,TINSUKIA,796936.0,228.01534842374537,17.0,31.0,1002.0,4706.0,5412.0,2477.0,32631.0,15536.0,842.967349963,15919.0,19014.0,80492.0,139131.0,3.0,145824.0,220554.0,5708.0,534.521714,105539.0,74.0,81.34,48.33,100.65,Good,55.19804696071977,9.675331459398373
2018-2019,,ASSAM,CHIRANG,588416.0,228.01534842374537,19.0,6.0,319.0,4281.0,12836.0,11600.0,174108.0,83216.0,1752.25313879,14652.0,21078.0,82076.0,185057.0,6.0,109153.0,236039.0,4600.0,572.33218,126841.0,74.0,63.78,47.22,100.35,Good,75.19353567927588,9.592400371638025
2018-2019,,ASSAM,MAJULI,0.0,228.01534842374537,17.0,9.0,371.0,2134.0,19656.0,5936.0,90444.0,32792.0,373.298078746,11096.0,15750.0,27067.0,63118.0,1.0,36155.0,76892.0,2505.0,326.02152,70162.0,83.0,93.36,68.19,100.65,Good,74.86378094316139,9.314430080500564
2020-2021,,ASSAM,NALBARI,3244721.0,228.01534842374537,44.0,40.0,2521.0,4916.0,67331.0,6926.0,28421.0,4332.0,7847.41637352808,72408.0,100747.0,114570.0,200813.0,227.5,174649.0,286486.0,7437.0,6706.46853900008,1320549.0,59.5,50.37,61.21,100.65,Good,65.6001465797113,11.1900858800403
2020-2021,,ASSAM,HAILAKANDI,2085935.0,228.01534842374537,29.0,81.0,1678.0,4598.0,115691.0,12457.0,16286.0,2460.0,4838.580431306,69566.0,86705.0,95451.0,175046.0,227.5,143998.0,241802.0,6276.0,3762.666475,583566.0,66.0,76.04,78.58,99.84,Good,66.28633731024041,11.150045595952545
2020-2021,,ASSAM,HOJAI,1922021.0,228.01534842374537,40.0,163.5,2619.0,6747.0,149327.375,20145.0,38031.0,5022.0,4367.174900315,48014.0,65059.0,82108.0,139771.0,227.5,134977.0,220151.0,9366.0,3887.08562,782635.0,82.0,52.37,66.75,99.66,Good,60.831104558554415,10.779268741072073
2018-2019,March,ASSAM,DARRANG,1623535.0,228.01534842374537,29.0,56.0,3750.0,3333.0,43648.0,5950.0,6425.0,786.0,2725.883510981,36472.0,55071.0,80148.0,187465.0,227.5,164041.0,332817.0,7083.0,1996.882161,446259.0,68.0,70.54,53.16,100.65,Good,48.858517078047555,10.504327539810888
2018-2019,March,ASSAM,NAGAON,3301707.0,228.01534842374537,31.0,110.0,6230.0,3169.0,149327.375,14473.0,75266.0,11720.0,7831.547533846,94712.0,122783.0,161317.0,255782.0,227.5,259337.0,393973.0,9399.0,5653.20008,1089534.0,62.0,58.47,57.3,100.27,Good,62.20361922903403,11.458606545359917
2018-2019,March,ASSAM,JORHAT,1630480.0,228.01534842374537,22.0,55.0,3361.0,1592.0,57224.0,7743.0,116988.0,12039.0,2161.930319627,43489.0,49313.0,75652.0,124321.0,109.0,135353.0,202127.0,4953.0,1863.377056,458547.0,59.5,80.21,78.86,100.65,Good,55.89237032056917,10.680286305591684
2018-2019,March,ASSAM,HAILAKANDI,1929790.0,228.01534842374537,20.0,42.0,1961.0,1974.0,36591.0,11576.0,1948.0,2511.0,2745.658182618,30489.0,34489.0,81665.0,158578.0,13.0,130143.0,233319.0,3935.0,1359.57357,167834.0,70.0,47.32,47.71,100.65,Good,62.75020554313332,10.3251540399823
2018-2019,March,ASSAM,KAMRUP (METRO),159606.0,228.01534842374537,22.0,2.0,455.0,1475.0,35223.0,5752.0,37383.0,7871.0,244.4439,5608.0,6711.0,11901.0,25437.0,12.0,44061.0,85835.0,1930.0,239.6233,56369.0,94.0,90.43,44.58,100.06,Good,27.010281201062163,8.632127729508337
2018-2019,March,ASSAM,UDALGURI,2977451.0,228.01534842374537,40.0,58.0,5206.0,4756.0,149327.375,11309.0,460323.625,101971.0,8405.946894008124,95102.0,122904.0,122267.0,254560.0,227.5,170988.0,335734.0,9962.0,7179.218648,1536031.75,59.5,70.06,67.82,100.28,Good,71.50618756871827,11.46271579377725
2018-2019,March,ASSAM,CHARAIDEO,0.0,228.01534842374537,18.0,45.0,1239.0,1008.0,7039.0,1207.0,10745.0,2109.0,775.56266683,21215.0,27340.0,38540.0,74999.0,146.0,66363.0,115330.0,2247.0,747.94951,169513.0,59.5,70.06,72.73,100.65,Good,58.07452948178955,9.96251089298559
2018-2019,,ASSAM,SONITPUR,2469639.0,228.01534842374537,18.0,33.0,1692.0,3809.0,27641.0,6518.0,53254.0,12487.0,1532.732651039,35743.0,36771.0,95087.0,168870.0,2.0,158522.0,254877.0,5501.0,1213.990592,268995.0,68.0,64.6,50.27,100.65,Good,59.9834723256078,10.484137701868928
2018-2019,,ASSAM,BAKSA,1444608.0,228.01534842374537,25.0,118.0,3012.0,11039.0,149327.375,24279.0,460323.625,113522.125,5152.423063886,80381.0,95746.0,151986.0,277751.0,123.0,234178.0,399388.0,14051.0,3452.962843,989704.0,80.0,64.03,61.85,100.65,Good,64.90191222061851,11.29454554950504
2018-2019,,ASSAM,UDALGURI,2843466.0,228.01534842374537,37.0,46.0,2642.0,6694.0,130972.0,11332.0,460323.625,102009.0,7867.6860937764,88853.0,113326.0,122261.0,254769.0,182.0,170228.0,334647.0,9336.0,5868.745188,1514342.0,59.5,69.56,66.7,100.42,Good,71.8219094391052,11.394749852265559
2018-2019,May,ASSAM,NALBARI,319631.0,228.01534842374537,15.0,18.0,427.0,4913.0,11125.0,5350.0,5274.0,3436.0,625.440306,23943.0,29029.0,74080.0,136777.0,4.0,144554.0,244953.0,5340.0,622.76122,121776.0,59.5,59.5,59.63,100.65,Good,51.24728475171908,10.083473049532534
2018-2019,May,ASSAM,SONITPUR,465482.0,228.01534842374537,10.0,22.0,316.0,4269.0,6160.0,6466.0,11671.0,12408.0,230.1297204,11709.0,11880.0,93713.0,166802.0,0.0,154024.0,248299.0,4585.0,168.00532,51361.0,69.0,81.62,60.36,100.65,Good,60.843115358645406,9.368198456591763
2018-2019,May,ASSAM,JORHAT,293486.0,228.01534842374537,11.0,23.0,942.0,3126.0,11281.0,7672.0,15940.0,12013.0,468.845813723001,14219.0,15416.0,72503.0,120950.0,2.0,130282.0,196326.0,4068.0,242.37242,69061.0,60.0,87.21,67.12,100.65,Good,55.65081899264672,9.562404703357231
2018-2019,May,ASSAM,TINSUKIA,278541.0,228.01534842374537,10.0,6.0,234.0,4297.0,1409.0,2483.0,7794.0,15606.0,194.045991118,6986.0,7967.0,80499.0,141966.0,0.0,146034.0,223710.0,4531.0,155.914574,26914.0,68.0,61.64,43.74,100.65,Good,55.12346439870167,8.85180655855245
2018-2019,May,ASSAM,BAKSA,272282.0,228.01534842374537,13.0,5.0,308.0,10689.0,20086.0,23856.0,138574.0,113522.125,606.37966921,18415.0,20646.0,148660.0,273947.0,0.0,223717.0,384936.0,10997.0,433.061578,129357.0,78.0,70.93,78.18,100.65,Good,66.45002391414152,9.820975130961664
2018-2019,May,ASSAM,KAMRUP (METRO),28729.0,228.01534842374537,10.0,0.0,19.0,1499.0,2151.0,5736.0,4004.0,7856.0,19.65648,1261.0,1477.0,11845.0,25349.0,0.0,43687.0,85332.0,1518.0,19.65648,6811.0,94.0,74.29,60.54,100.0,Good,27.113328907913107,7.140453043101158
2018-2019,May,ASSAM,SOUTH SALMARA-MANKACHAR,0.0,228.01534842374537,11.0,0.0,3.0,446.0,10.0,514.0,421.0,75.0,20.3738276,748.0,771.0,14445.0,21307.0,0.0,38435.0,54916.0,449.0,0.0,2984.0,59.5,79.72,79.72,100.65,Good,37.58293222323403,6.618738983517219
2018-2019,July,ASSAM,KOKRAJHAR,929529.0,228.01534842374537,25.0,163.5,282.0,8011.0,6844.0,5330.0,205036.0,113522.125,1438.686410882,19961.0,38695.0,113130.0,321297.0,56.0,187680.0,485433.0,8293.0,958.969684,217583.0,63.0,53.98,43.17,100.65,Good,60.27813299232737,9.901585745246532
2018-2019,July,ASSAM,GOALPARA,359061.0,228.01534842374537,19.0,66.0,485.0,7883.0,17625.0,6767.0,165238.0,45693.0,1179.614235227,29936.0,42227.0,71491.0,178251.0,0.0,149695.0,318036.0,8368.0,1100.5176,248228.0,85.0,92.95,81.34,100.16,Good,47.757774140752865,10.306850452552423
2018-2019,July,ASSAM,GOLAGHAT,812121.0,228.01534842374537,14.0,22.0,2264.0,10265.0,28622.0,12925.0,70911.0,33714.0,1196.74814136,26128.0,35379.0,117132.0,249418.0,1.0,167957.0,340677.0,12529.0,713.43806,151818.0,80.0,51.04,43.91,100.13,Good,69.73927850580803,10.170801087594812
2018-2019,July,ASSAM,JORHAT,668497.0,228.01534842374537,14.0,25.0,2086.0,2091.0,17486.0,7670.0,32807.0,11901.0,682.981686029001,16305.0,17826.0,72523.0,120654.0,2.0,130004.0,195737.0,4177.0,424.697196,94965.0,61.0,89.12,63.08,100.65,Good,55.78520660902741,9.699288417222856
2018-2019,July,ASSAM,HAILAKANDI,791214.0,266.7181627321564,11.0,11.0,365.0,2499.0,5499.0,11681.0,542.0,2544.0,759.58340128,10694.0,11578.0,81743.0,160066.0,0.0,127132.0,231165.0,2864.0,373.5029,27984.0,62.0,27.67,35.17,100.65,Good,64.29773778435013,9.277531621516506
2018-2019,July,ASSAM,UDALGURI,1220755.0,228.01534842374537,20.0,30.0,1592.0,6544.0,51478.0,11371.0,460323.625,103232.0,4138.4068792064,62842.0,75571.0,121775.0,257260.0,0.0,167096.0,332514.0,8136.0,2290.49184,594847.0,59.5,74.19,69.82,100.65,Good,72.87726815722698,11.048394831522833
2020-2021,April,ASSAM,BONGAIGAON,7220.0,228.01534842374537,8.0,0.0,2.0,3245.0,184.0,13354.0,30.0,3057.0,0.04632,838.0,1131.0,73653.0,192263.0,0.0,124707.0,299813.0,3247.0,0.04632,2785.0,67.0,24.85,83.875,100.0,Good,59.06083860569174,6.732210706467206
2020-2021,April,ASSAM,BARPETA,6698.0,228.01534842374537,8.0,9.0,36.0,11085.0,424.0,11227.0,110.0,4598.0,9.858811,822.0,1096.0,187646.0,422310.0,0.0,311163.0,643624.0,11121.0,9.858811,2452.0,59.5,27.17,56.78,100.52,Good,60.304727747193596,6.71295620067707
2020-2021,April,ASSAM,KAMRUP,12859.0,228.01534842374537,8.0,1.0,56.0,10473.0,406.0,23984.0,277.0,38202.0,6.97516,1560.0,2201.0,150575.0,327617.0,0.0,281370.0,577761.0,10529.0,6.97516,5136.0,75.0,56.8,55.7,99.98,Good,53.51494473469097,7.353081920515432
2020-2021,April,ASSAM,JORHAT,3983.0,228.01534842374537,2.0,4.0,10.0,3995.0,207.0,8369.0,113.0,12619.0,4.4468,1398.0,1464.0,84358.0,137204.0,0.0,144327.0,212839.0,4005.0,4.4468,1588.0,66.0,96.71,83.875,100.0,Good,58.44921601640719,7.243512974665482
2020-2021,April,ASSAM,SIVASAGAR,1619.0,249.93056416615,5.0,5.0,11.0,3430.0,128.0,6309.0,10.0,12151.0,4.03138,280.0,358.0,66015.0,136868.0,0.0,112924.0,206829.0,3441.0,4.03138,716.0,74.0,82.67,83.875,100.0,Good,58.45967199178208,5.638354669333745
2020-2021,April,ASSAM,CACHAR,7016.0,228.01534842374537,7.0,1.0,266.0,11549.0,407.0,16820.0,68.0,3533.0,5.56039,894.0,942.0,184186.0,235289.0,0.0,296943.0,369743.0,11815.0,5.56039,1968.0,78.0,21.23,25.58,99.93,Good,62.02739246252648,6.796823718274855
2020-2021,April,ASSAM,HOJAI,2115.0,228.01534842374537,10.0,0.0,8.0,4050.0,186.0,19805.0,0.0,4986.0,0.79902,201.0,223.0,77891.0,134492.0,0.0,122095.0,202331.0,4058.0,0.79902,586.0,85.0,34.36,83.875,100.0,Good,63.79540521724887,5.308267697401205
2020-2021,April,ASSAM,CHARAIDEO,2516.0,228.01534842374537,2.0,1.0,0.0,4721.0,15.0,1310.0,12.0,2231.0,4.97465,890.0,987.0,43767.0,84367.0,0.0,71484.0,123304.0,4721.0,4.97465,1212.0,88.0,64.42,62.61,100.0,Good,61.22628840020145,6.792344427470809
2020-2021,April,ASSAM,MAJULI,2491.0,228.01534842374537,5.0,0.0,0.0,787.0,244.0,6340.0,736.0,33798.0,0.46627,476.0,580.0,30949.0,66585.0,0.0,36217.0,74021.0,787.0,0.46627,849.0,85.0,30.84,11.54,100.0,Good,85.45434464478008,6.1675164908883415
2018-2019,,ASSAM,SONITPUR,2004157.0,228.01534842374537,16.0,23.0,1199.0,3812.0,17946.0,6474.0,35866.0,12421.0,1046.353953039,23856.0,24489.0,94037.0,167358.0,1.0,154776.0,249689.0,5011.0,727.611894,152925.0,70.0,67.76,43.73,100.65,Good,60.756835685119135,10.079832954301699
2018-2019,,ASSAM,DIBRUGARH,1216205.0,228.01534842374537,16.0,69.0,1604.0,3390.0,19281.0,8516.0,72197.0,27667.0,1427.991639318,25838.0,33090.0,117454.0,231486.0,26.0,175474.0,312850.0,4994.0,844.75854,185359.0,59.5,83.78,66.93,100.65,Good,66.93527246201717,10.159640257457283
2018-2019,,ASSAM,Dima Hasao,506037.0,228.01534842374537,22.0,4.0,121.0,4653.0,633.0,784.0,125142.0,52920.0,266.267987174,5829.0,7013.0,22194.0,57330.0,8.0,32211.0,78335.0,4774.0,238.88127,43363.0,86.0,93.8,57.68,100.65,Good,68.90192791282482,8.670772279344538
2018-2019,,ASSAM,KARIMGANJ,1017921.0,228.01534842374537,20.0,41.0,718.0,8757.0,93586.0,22359.0,8103.0,1818.0,1679.019924732,39393.0,45987.0,103371.0,150945.0,6.0,213186.0,283008.0,9475.0,1511.14343,277233.0,75.0,80.18,69.55,100.65,Good,48.48864371956883,10.58136879942564
2018-2019,,ASSAM,BAKSA,1172326.0,228.01534842374537,20.0,49.0,1514.0,11529.0,70666.0,23983.0,424423.0,113522.125,3110.864476809,42491.0,49669.0,149921.0,275071.0,5.0,228126.0,390868.0,13043.0,1554.764693,418252.0,80.0,73.01,66.59,100.65,Good,65.71850643942383,10.657071101899904
2018-2019,,ASSAM,KAMRUP (METRO),123695.0,228.01534842374537,18.0,2.0,106.0,1646.0,11790.0,5740.0,16385.0,7855.0,105.06303,3067.0,3634.0,11854.0,25355.0,6.0,43831.0,85478.0,1752.0,100.24243,27081.0,94.0,79.53,48.0,100.13,Good,27.044785653989184,8.028781162487148
2018-2019,,ASSAM,GOALPARA,740016.0,228.01534842374537,23.0,88.0,551.0,8972.0,25141.0,6742.0,244357.0,45595.0,1834.901496007,36904.0,52495.0,71507.0,176940.0,42.0,150529.0,317931.0,9523.0,1658.0622,367917.0,87.0,88.44,77.36,100.06,Good,47.50380325385806,10.516102322204153
2018-2019,,ASSAM,GOLAGHAT,1673762.0,228.01534842374537,19.0,34.0,3476.0,9664.0,49848.0,12959.0,154385.0,33654.0,2209.307392466,36276.0,50336.0,117411.0,248761.0,43.0,168905.0,341002.0,13140.0,1363.37959,293534.0,81.0,55.44,42.07,100.28,Good,69.51303987448566,10.49893921062262
2018-2019,,ASSAM,JORHAT,1377755.0,228.01534842374537,17.0,30.0,2324.0,2251.0,31039.0,7696.0,63393.0,11855.0,986.459666029001,24277.0,26945.0,73160.0,121204.0,25.0,130951.0,196690.0,4575.0,728.175176,182884.0,59.5,82.97,67.42,100.65,Good,55.868225519469114,10.097325869457748
2018-2019,,ASSAM,KARBI ANGLONG,1317193.0,228.01534842374537,16.0,32.0,800.0,10349.0,21032.0,8971.0,460323.625,113522.125,1624.392734538,42104.0,46141.0,102127.0,199284.0,57.0,150846.0,279256.0,11149.0,1328.669776,322640.0,80.0,68.57,48.27,100.65,Good,67.7028227463771,10.647921777464093
2018-2019,,ASSAM,Dima Hasao,551744.0,228.01534842374537,22.0,5.0,135.0,4690.0,672.0,775.0,132957.0,52855.0,282.289457174,6109.0,7423.0,22186.0,57246.0,11.0,32461.0,78658.0,4825.0,254.90274,46409.0,86.0,93.93,59.29,100.65,Good,68.34663134222606,8.71768205216564
2018-2019,,ASSAM,BAKSA,1278213.0,228.01534842374537,22.0,74.0,1753.0,11626.0,93334.0,24022.0,460323.625,113522.125,3756.691363886,51234.0,60495.0,150657.0,275998.0,16.0,230743.0,394524.0,13379.0,2057.231143,552212.0,80.0,70.0,65.22,100.65,Good,65.2921215378148,10.844178171233818
2018-2019,,ASSAM,KAMRUP (METRO),134867.0,228.01534842374537,20.0,2.0,151.0,1626.0,15336.0,5742.0,18472.0,7855.0,126.4635,3245.0,3884.0,11856.0,25359.0,8.0,43898.0,85583.0,1777.0,121.6429,30694.0,94.0,82.29,43.63,100.12,Good,27.00806414870837,8.085178748074537
2018-2019,,ASSAM,Biswanath,0.0,228.01534842374537,18.0,163.5,704.0,3591.0,32274.0,13168.0,107904.0,26471.0,891.371391622,24657.0,29373.0,79405.0,153745.0,16.0,132856.0,236721.0,4295.0,835.96397,193357.0,68.0,74.57,58.85,100.65,Good,59.767718431986516,10.112856670428497
2018-2019,,ASSAM,MAJULI,0.0,228.01534842374537,21.0,10.0,658.0,2095.0,29834.0,5925.0,134358.0,32705.0,552.386918746,12975.0,18662.0,27089.0,63041.0,14.0,36279.0,76940.0,2753.0,505.11036,100342.0,85.0,88.83,61.88,100.65,Good,74.66854102924557,9.470856776355195
2020-2021,May,ASSAM,GOALPARA,151915.0,228.01534842374537,13.0,59.0,76.0,8978.0,6262.0,7453.0,50037.0,51616.0,244.525173,11289.0,15832.0,83009.0,199080.0,0.0,160242.0,329425.0,9054.0,244.525173,71228.0,90.0,90.88,48.54,99.84,Good,51.80227406048352,9.331672657143708
2020-2021,May,ASSAM,BARPETA,635726.0,228.01534842374537,14.0,163.5,1417.0,10306.0,16311.0,11095.0,12397.0,4562.0,807.640732,44524.0,66285.0,188815.0,422953.0,0.0,313565.0,646230.0,11723.0,807.640732,258294.0,59.5,65.31,78.66,100.03,Good,60.21558528534754,10.703806108157863
2020-2021,May,ASSAM,NALBARI,293032.0,228.01534842374537,15.0,8.0,353.0,4828.0,5300.0,6880.0,2249.0,4324.0,526.811442,18520.0,22966.0,107106.0,190784.0,0.0,162008.0,269115.0,5181.0,526.811442,110658.0,59.5,67.32,57.68,100.65,Good,66.11155004691126,9.826660502422802
2020-2021,May,ASSAM,SONITPUR,218859.0,228.01534842374537,10.0,11.0,446.0,10750.0,5159.0,6967.0,11310.0,13993.0,288.77077,19980.0,21922.0,119609.0,215173.0,0.0,184936.0,295506.0,11196.0,288.74077,92207.0,78.0,72.56,68.59,100.65,Good,64.67588787472422,9.902537101000133
2020-2021,May,ASSAM,DIBRUGARH,205620.0,228.01534842374537,7.0,46.0,106.0,7309.0,4980.0,8981.0,17983.0,29366.0,347.3677,26125.0,32356.0,138016.0,262861.0,0.0,193439.0,334956.0,7415.0,347.13724,99475.0,87.0,84.43,65.78,99.97,Good,71.34859051173756,10.17068626604651
2020-2021,May,ASSAM,KARIMGANJ,142621.0,228.01534842374537,9.0,6.0,354.0,9127.0,20614.0,27204.0,1497.0,2249.0,215.42905,14605.0,15901.0,141789.0,199698.0,0.0,232729.0,303730.0,9481.0,215.42905,41058.0,78.0,98.42,66.31,100.0,Good,60.924508763411524,9.589187682180055
2020-2021,May,ASSAM,CACHAR,297049.0,228.01534842374537,13.0,15.0,1123.0,11835.0,24721.0,16859.0,3315.0,3534.0,383.207133,22295.0,22938.0,184769.0,235723.0,0.0,300409.0,373176.0,12958.0,383.207133,83944.0,74.0,41.03,31.29,100.65,Good,61.50581374060031,10.012162569161784
2020-2021,May,ASSAM,KAMRUP (METRO),16639.0,228.01534842374537,13.0,0.0,97.0,943.0,2393.0,6144.0,4008.0,9411.0,28.89198,1236.0,1342.0,13209.0,28561.0,0.0,45101.0,86747.0,1040.0,28.89198,8665.0,86.0,95.8,32.3,100.0,Good,29.287598944591032,7.1204443723924875
2019-2020,June,ASSAM,DHUBRI,1580069.0,228.01534842374537,28.0,148.0,767.0,6301.0,15533.0,3318.0,474.0,180.0,2965.87611,59396.0,112132.0,129910.0,355200.0,171.0,227647.0,538139.0,7068.0,2965.87611,680503.0,74.0,36.91,76.4,100.65,Good,57.06642301457959,10.991998999024808
2019-2020,June,ASSAM,SONITPUR,577104.0,228.01534842374537,15.0,25.0,350.0,2727.0,17283.0,6635.0,31507.0,13170.0,1038.52317,37545.0,38874.0,105323.0,190585.0,0.0,170389.0,273319.0,3077.0,1038.52317,248098.0,59.5,69.92,82.67,100.65,Good,61.81326259324253,10.533322126884308
2019-2020,June,ASSAM,Dima Hasao,68456.0,228.01534842374537,20.0,4.0,127.0,6001.0,303.0,849.0,65736.0,54000.0,95.33152,3395.0,4438.0,23754.0,58647.0,0.0,33564.0,78774.0,6128.0,95.33152,22772.0,88.0,88.89,41.92,100.65,Good,70.77225598855918,8.130353547431238
2019-2020,June,ASSAM,KAMRUP (METRO),74375.0,228.01534842374537,25.0,1.0,586.0,894.0,27699.0,5503.0,23024.0,7662.0,130.0562166,2946.0,3803.0,11556.0,24813.0,0.0,44403.0,86386.0,1480.0,130.00622,30028.0,95.0,98.71,25.64,100.0,Good,26.02526856293494,7.988542982737695
2021-2022,,ASSAM,DHUBRI,3301707.0,228.01534842374537,33.0,163.5,3961.0,39510.0,16897.0,3704.0,1965.0,294.0,8405.946894008124,102912.25,139020.75,216162.0,459620.625,227.5,332263.0,697394.5,49651.0,7185.215666187501,1536031.75,88.0,85.35,67.3,100.65,Good,65.05749963131615,11.541641679324568
2021-2022,,ASSAM,NALBARI,1959591.0,228.01534842374537,29.0,28.0,1343.0,8417.0,47841.0,7444.0,21942.0,4480.0,4691.321343317,60746.0,90021.0,113093.0,210073.0,227.5,184553.0,316892.0,9760.0,3896.61947,796213.0,69.0,70.33,79.95,100.65,Good,61.27941566921156,11.01447297726738
2021-2022,,ASSAM,LAKHIMPUR,3301707.0,228.01534842374537,38.0,163.5,7606.0,16022.0,149327.375,15689.0,460323.625,89115.0,8405.946894008124,102912.25,139020.75,154321.0,352979.0,227.5,249603.0,525076.0,23628.0,7185.215666187501,1536031.75,83.0,75.1,81.29,100.13,Good,61.8265806100087,11.541641679324568
2021-2022,,ASSAM,DHEMAJI,3301707.0,228.01534842374537,39.0,163.5,5197.0,6758.0,149327.375,13273.0,460323.625,113522.125,8405.946894008124,102912.25,139020.75,122265.0,292229.0,227.5,201881.0,544574.0,11955.0,7185.215666187501,1536031.75,67.0,54.92,78.7,99.75,Good,60.56290587028992,11.541641679324568
2021-2022,,ASSAM,KARBI ANGLONG,1511135.0,228.01534842374537,30.0,53.0,3596.0,9597.0,66634.0,9697.0,460323.625,113522.125,4103.978447956,56451.0,75674.0,91087.0,176780.0,227.5,132204.0,242371.0,13193.0,3587.48869,972759.0,59.5,93.21,83.875,100.65,Good,68.89882303107319,10.941145998533898
2021-2022,,ASSAM,UDALGURI,3242729.0,228.01534842374537,33.0,118.0,2763.0,8535.0,117632.0,12221.0,460323.625,112119.0,8405.946894008124,94385.0,124211.0,143901.0,282478.0,227.5,207825.0,395181.0,11298.0,6754.04873,1536031.75,59.5,67.34,72.77,100.04,Good,69.24142908697222,11.45514803605056
2021-2022,,ASSAM,MAJULI,913071.0,228.01534842374537,39.0,26.0,31.0,1032.0,85593.0,5108.0,412566.0,22080.0,1914.97943268,22263.0,35490.0,27837.0,46837.0,227.5,37478.0,73021.0,1063.0,1886.18545,380824.0,59.5,97.85,83.875,100.0,Good,74.27557500400235,10.010726303205727
2019-2020,March,ASSAM,LAKHIMPUR,3301707.0,228.01534842374537,46.0,163.5,3948.0,8163.0,149327.375,15463.0,460323.625,95503.0,8405.946894008124,102912.25,139020.75,136268.0,341761.0,227.5,227586.0,486802.0,12111.0,7185.215666187501,1536031.75,80.0,54.0,77.35,100.65,Good,59.87538776550403,11.541641679324568
2019-2020,March,ASSAM,JORHAT,916233.0,228.01534842374537,21.0,55.0,945.0,3794.0,52575.0,7975.0,91412.0,12289.0,1939.587573299,43877.0,49640.0,80061.0,129980.0,122.0,144516.0,213166.0,4739.0,1788.6132,430544.0,61.0,79.07,73.23,100.65,Good,55.39940214232334,10.689168334499007
2019-2020,March,ASSAM,CACHAR,3301707.0,228.01534842374537,39.0,91.0,5352.0,10631.0,149327.375,15966.0,42657.0,3471.0,8405.946894008124,102912.25,117588.0,162938.0,211779.0,227.5,295176.0,368091.0,15983.0,7185.215666187501,1175656.0,85.0,58.44,58.49,100.65,Good,55.20028728622923,11.541641679324568
2019-2020,March,ASSAM,MAJULI,1081427.0,228.01534842374537,42.0,20.0,1209.0,777.0,124075.0,6241.0,412351.0,33059.0,2270.870689789,24408.0,38767.0,30037.0,64893.0,227.5,37017.0,75508.0,1986.0,2085.31872,411666.0,89.0,83.85,76.28,100.65,Good,81.14379879514817,10.102707195730964
2021-2022,,ASSAM,DHUBRI,3301707.0,237.096368793825,32.0,163.5,3041.0,39510.0,14370.0,3704.0,1683.0,294.0,8405.946894008124,102912.25,139020.75,216055.0,459620.625,227.5,326384.0,695895.0,49302.0,7185.215666187501,1536031.75,88.0,85.6,67.17,100.65,Good,66.19656600813767,11.541641679324568
2021-2022,,ASSAM,GOALPARA,1864704.0,228.01534842374537,29.0,145.0,4711.0,23062.0,28078.0,7955.0,288461.0,56577.0,4554.87185101,63153.0,101074.0,107056.0,249964.0,227.5,199458.0,404736.0,27773.0,4064.31536,874868.0,94.0,82.4,73.0,100.65,Good,53.67345506322133,11.053331467023655
2021-2022,,ASSAM,DIBRUGARH,1773776.0,228.01534842374537,20.0,143.0,4058.0,7431.0,59186.0,9342.0,222771.0,29588.0,4183.870459035,86832.0,117930.0,149416.0,274214.0,227.5,205797.0,356294.0,11489.0,3956.98482,943805.0,73.0,83.92,81.95,100.38,Good,72.60358508627434,11.371742012728488
2021-2022,,ASSAM,KARIMGANJ,2337547.0,228.01534842374537,24.0,119.0,3628.0,16108.0,149327.375,28259.875,25553.0,2459.0,6121.948991175,102912.25,126504.0,167896.0,234208.0,227.5,278996.0,359571.0,19736.0,5526.392258,1078763.0,75.0,87.21,81.99,100.65,Good,60.17864055398644,11.541641679324568
