fin_year,month,state_name,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Number_of_Completed_Works,Number_of_Ongoing_Works,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks,percentage_active_job_cards,log_Total_Households_Worked
2020-2021,,ASSAM,SOUTH SALMARA-MANKACHAR,1659020.0,228.01534842374537,36.0,15.0,882.0,1648.0,25614.0,1119.0,4553.0,223.0,3548.736118035,41464.0,45163.0,55337.0,68042.0,227.5,98604.0,119091.0,2530.0,3107.931157,860918.0,69.0,69.75,82.52,100.29,Good,56.12044136140521,10.632604976885304
2022-2023,,ASSAM,SONITPUR,2564535.0,228.01534842374537,33.0,68.0,6468.0,25189.0,82573.0,7481.0,145880.0,12107.0,7622.715519972,96979.0,111680.0,158113.0,216043.0,227.5,255946.0,330667.0,31657.0,7185.215666187501,1536031.75,87.0,63.21,67.64,100.65,Good,61.77592148343791,11.482260050659344
2022-2023,,ASSAM,KARBI ANGLONG,2183233.0,244.51903936847,39.0,59.0,3468.0,18304.0,84666.0,10020.0,460323.625,113522.125,5588.120171014,54685.0,72194.0,93661.0,180702.0,227.5,149312.0,264562.0,21772.0,5338.82137,1253457.0,75.0,94.82,81.5,100.65,Good,62.72838084012001,10.90936301415237
2022-2023,,ASSAM,Dima Hasao,1458854.0,230.190498495382,34.0,3.0,355.0,4873.0,6088.0,748.0,269963.0,52477.0,777.189881315,8635.0,11341.0,24609.0,57298.0,52.0,38887.0,85721.0,5228.0,683.09721,119433.0,78.0,51.48,64.46,100.65,Good,63.28335947746033,9.063694791634697
2022-2023,,ASSAM,CACHAR,2809470.0,228.01534842374537,35.0,39.0,7446.0,39510.0,148291.0,18041.0,26101.0,3827.0,5942.054604235,75183.0,83797.0,207325.0,268100.0,177.0,378000.5,471986.0,53904.0,5849.06039,864476.0,92.0,93.78,22.45,100.65,Good,54.84781104786899,11.227693721342597
2022-2023,,ASSAM,Biswanath,2150438.0,232.487667106148,32.0,163.5,2938.0,21565.0,149327.375,15560.0,372342.0,38170.0,6093.509277106,73216.0,110063.0,112988.0,201912.0,227.5,178537.0,292601.0,24503.0,5512.2314398,1254736.0,87.0,64.67,67.7,100.47,Good,63.28548144082179,11.201182913422926
2022-2023,,ASSAM,SOUTH SALMARA-MANKACHAR,1586876.0,228.01534842374537,23.0,163.5,1999.0,29032.0,5801.0,868.0,21902.0,534.0,2590.621542324,46219.0,55402.0,60571.0,74717.0,2.0,158637.0,205517.0,31031.0,2486.515759,610032.0,96.0,60.35,63.42,100.65,Good,38.182139097436284,10.741167883828371
2022-2023,,ASSAM,BAJALI,1095671.0,231.791716087588,37.0,163.5,1827.0,15395.0,16507.0,2374.0,13573.0,2141.0,1735.799200885,18638.0,34337.0,44216.0,94814.0,109.0,69067.0,135658.0,17222.0,1639.599565,331567.0,94.0,87.56,25.12,100.65,Good,64.01899604731638,9.833011438731804
2022-2023,,ASSAM,TAMULPUR,1514390.0,242.906639831707,24.0,12.0,1142.0,18956.0,113080.0,17415.0,314566.0,54622.0,2115.428320374,33313.0,48566.0,67050.0,135210.0,42.0,123598.0,220147.0,20098.0,2001.067328,446231.0,91.0,70.58,59.02,100.65,Good,54.24845062217835,10.413733008037052
2018-2019,,ASSAM,KOKRAJHAR,1757037.0,228.01534842374537,30.0,163.5,621.0,8197.0,14717.0,5324.0,399851.0,113522.125,2571.033885223,33574.0,59777.0,113183.0,319217.0,227.5,189524.0,486580.0,8818.0,1771.920108,433530.0,64.0,56.71,44.26,100.65,Good,59.71961334712227,10.421537021391439
